uf,cargo,url_g1,resumo,candidaturas
PA,Deputado Federal,https://g1.globo.com/pa/para/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-federal-no-para.ghtml,PA tem 257 candidatos na disputa por 17 vagas; votação será em 4 de outubro.,257
PB,Deputado Federal,https://g1.globo.com/pb/paraiba/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-federal-na-paraiba.ghtml,PB tem 182 candidatos na disputa por 12 vagas; votação será em 4 de outubro.,182
PE,Deputado Federal,https://g1.globo.com/pe/pernambuco/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-federal-em-pernambuco.ghtml,PE tem 374 candidatos na disputa por 25 vagas; votação será em 4 de outubro.,374
PI,Deputado Federal,https://g1.globo.com/pi/piaui/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-federal-no-piaui.ghtml,PI tem 162 candidatos na disputa por 10 vagas; votação será em 4 de outubro.,162
PR,Deputado Federal,https://g1.globo.com/pr/parana/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-federal-no-parana.ghtml,PR tem 413 candidatos na disputa por 30 vagas; votação será em 4 de outubro.,413
RJ,Deputado Federal,https://g1.globo.com/rj/rio-de-janeiro/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-federal-no-rio-de-janeiro-de-a-a-j.ghtml,RJ tem 782 candidatos na disputa por 46 vagas; votação será em 4 de outubro.,782
RN,Deputado Federal,https://g1.globo.com/rn/rio-grande-do-norte/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-federal-no-rio-grande-do-norte.ghtml,RN tem 109 candidatos na disputa por 8 vagas; votação será em 4 de outubro.,109
RO,Deputado Federal,https://g1.globo.com/ro/rondonia/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-federal-em-rondonia.ghtml,RO tem 128 candidatos na disputa por 8 vagas; votação será em 4 de outubro.,128
RR,Deputado Federal,https://g1.globo.com/rr/roraima/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-federal-em-roraima.ghtml,RR tem 104 candidatos na disputa por 8 vagas; votação será em 4 de outubro.,104
RS,Deputado Federal,https://g1.globo.com/rs/rio-grande-do-sul/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-federal-no-rio-grande-do-sul.ghtml,RS tem 454 candidatos na disputa por 31 vagas; votação será em 4 de outubro.,454
SC,Deputado Federal,https://g1.globo.com/sc/santa-catarina/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-federal-em-santa-catarina.ghtml,SC tem 230 candidatos na disputa por 16 vagas; votação será em 4 de outubro.,230
SE,Deputado Federal,https://g1.globo.com/se/sergipe/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-federal-em-sergipe.ghtml,SE tem 138 candidatos na disputa por 8 vagas; votação será em 4 de outubro.,138
SP,Deputado Federal,https://g1.globo.com/sp/sao-paulo/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-federal-em-sao-paulo-de-a-a-e.ghtml,SP tem 1113 candidatos na disputa por 70 vagas; votação será em 4 de outubro.,1113
TO,Deputado Federal,https://g1.globo.com/to/tocantins/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-federal-no-tocantins.ghtml,TO tem 91 candidatos na disputa por 8 vagas; votação será em 4 de outubro.,91
AC,Deputado Estadual,https://g1.globo.com/ac/acre/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-no-acre.ghtml,AC tem 238 candidatos na disputa por 24 vagas; votação será em 4 de outubro.,238
AL,Deputado Estadual,https://g1.globo.com/al/alagoas/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-em-alagoas.ghtml,AL tem 138 candidatos na disputa por 27 vagas; votação será em 4 de outubro.,138
AM,Deputado Estadual,https://g1.globo.com/am/amazonas/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-no-amazonas.ghtml,AM tem 282 candidatos na disputa por 24 vagas; votação será em 4 de outubro.,282
AP,Deputado Estadual,https://g1.globo.com/ap/amapa/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-no-amapa.ghtml,AP tem 189 candidatos na disputa por 24 vagas; votação será em 4 de outubro.,189
BA,Deputado Estadual,https://g1.globo.com/ba/bahia/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-na-bahia-de-a-a-j.ghtml,BA tem 635 candidatos na disputa por 63 vagas; votação será em 4 de outubro.,635
CE,Deputado Estadual,https://g1.globo.com/ce/ceara/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-no-ceara.ghtml,CE tem 358 candidatos na disputa por 46 vagas; votação será em 4 de outubro.,358
DF,Deputado Distrital,https://g1.globo.com/df/distrito-federal/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-distrital-no-distrito-federal.ghtml,DF tem 423 candidatos na disputa por 24 vagas; votação será em 4 de outubro.,423
ES,Deputado Estadual,https://g1.globo.com/es/espirito-santo/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-no-espirito-santo.ghtml,ES tem 405 candidatos na disputa por 30 vagas; votação será em 4 de outubro.,405
GO,Deputado Estadual,https://g1.globo.com/go/goias/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-em-goias-de-a-a-l.ghtml,GO tem 579 candidatos na disputa por 41 vagas; votação será em 4 de outubro.,579
MA,Deputado Estadual,https://g1.globo.com/ma/maranhao/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-no-maranhao.ghtml,MA tem 278 candidatos na disputa por 42 vagas; votação será em 4 de outubro.,278
